name,group,reproducible,sha256,bytes
amo_monthly,climate,no,1d1c27f2a545db52460cd38f08c08416ba17966124704c6ff62e4c0436b0abb6,6680
ar1_phi0.3,stochastic,yes,1cd4ad1e9fdb129d55dabafd0a0487697eb42bad3eb8f4bb64475e163af68a95,141534
ar1_phi0.7,stochastic,yes,a0f7a4951bf15f118345f52c5cbe9ed8740900b700713950e2b2004a60ab6ace,139808
ar1_phi0.9,stochastic,yes,71c1bcc756d40942bcc341627de64bbaad27ce29f5671c8a655d5c70f77852bf,137652
arma22,stochastic,yes,0165f81d622982f4cda71d2c222049f785f97f7842a55921a6c2944ff4ba6587,139667
cet_daily_anomaly,climate,no,51b23bb366936e75b86464c48f217a3f239472c8ab6dace6350f2091b0909c14,911593
cet_daily_raw,climate,no,1d62a06baf96c713a1f2f31c885c6a9c8c8fdcf944d654bbdad6adeaf59d329f,484857
chua_x,flow,yes,0ffe5081e3289f4bec196c36e9a8137b8d1ad0f33b8b787e74953016519300f1,136497
chua_y,flow,yes,09d9011fff97d515f741f97c9c1ef21ed34c6d6b3cf0f35c5b38c0a5bc85b2aa,147700
circle_map_qp,periodic,yes,330f71fe3ba7715f196555a29cb42843069df2cf9d1380bc485790e662497540,144651
eeg_setA_00,eeg,no,3fc8a4bafe2b2a7339aa124c7f67eb8bf2fff1776083d6af011491eb58996fe0,17440
eeg_setA_01,eeg,no,d1c5dd200a2a7b089ea185886e1520b9c99402ef4f569ed5d1507c3e30d21598,20220
eeg_setA_02,eeg,no,cb6daa5ceeb0e5c21dcfa9330999c0c7438f6e076a077382acd8f265c7708607,17534
eeg_setA_03,eeg,no,38d8c2ec9e8f0a2ee94fd7febcc0ce9a7e7f3cdc77916234bc256f1b3d65a912,18074
eeg_setA_04,eeg,no,b3a36f7f299542e484bff8aba42c12f6cf20976826f5372e02afd8ecbb469aca,18658
eeg_setA_05,eeg,no,76d9e2b9a58c18041d0626521f8021de789d19e4455e99c1183b2b0ebc7b3ebe,19107
eeg_setA_06,eeg,no,b7b855de5c9cff0ff34a126726bcad78d92036943d73531d14d9c7c53ea6c354,18440
eeg_setA_07,eeg,no,3f75b1bf18455b89af24439447d8792fdab4bac019e1def64364e4173ac56fd5,17702
eeg_setA_08,eeg,no,18c40408cd6b8db726bcbbe455b20da2d611a4d705c411c5b6fa7b39ea84a6a1,17047
eeg_setA_09,eeg,no,f4fdf9c2021f5736f2e7eedf506c4de5a08e6bab72d59168ee4df9c6f1158eb4,19086
eeg_setA_10,eeg,no,2434c59f156ab5bc654571cbc5bb79a9e35f398d560aeebfa1138b7f245f3e65,18308
eeg_setA_11,eeg,no,3e85ae1b2f39666da49cf53d7356a3500ff579dab8a57a07f84840a260428b23,18382
eeg_setA_12,eeg,no,b59c0e3bb287b42c98b4979dc3178dabc152e4bb19f6f3f6d8673f59caab7540,17197
eeg_setA_13,eeg,no,cf6ad917dd58e67c4a29b0ff4d2d6e8a6571b29ca905be778239715f4f04f054,17564
eeg_setA_14,eeg,no,124029b2825aee7b340c23fd9666d9ba0e2cd64b87974fb36cf3d96bbb08319a,17534
eeg_setA_15,eeg,no,61b1291b7273bda876b614f695e57d95b7ee42b85544a3c26abaab35dff1668a,17701
eeg_setA_16,eeg,no,d7324451f5339c05af86adbde10bd2de1f2c41b6274ee6bddb4c69e97b468f29,17023
eeg_setA_17,eeg,no,0a6c647d14b46ccc11072ce48eb381aa03d7e578eb65474858208090cc3c64d9,17740
eeg_setA_18,eeg,no,312d02fb322ea28b4fa1f639fecc43ab63a3ffd435000aaf73459d11e3017cf9,16967
eeg_setA_19,eeg,no,44a2dd61597763360c991584396275ea6476b167ffe3dbc773bfb9b00353d3d8,17347
eeg_setB_00,eeg,no,96b972ee65e83388c3b6e9a97adf777013f6e040fd56ed079f041b231c8cbf1b,17875
eeg_setB_01,eeg,no,9736307b9c45cd630becff45e3330c602659a4a9c8a88d1bb315940d03ee6d4e,17672
