name,label,occupancy,ordinal_d678,phases
logistic_r2.80,Regular,Regular,Regular,Regular
logistic_r3.00,Regular,Regular,Regular,Regular
logistic_r3.50,Regular,Regular,Regular,Regular
logistic_r3.57,Chaos,Regular,Regular,Regular
logistic_r3.70,Chaos,Chaos,Chaos,Chaos
logistic_r3.90,Chaos,Chaos,Chaos,Chaos
logistic_r4.00,Chaos,Chaos,Chaos,Chaos
henon_x_a1.4,Chaos,Chaos,Chaos,Chaos
henon_y_a1.4,Chaos,Chaos,Chaos,Chaos
henon_x_a1.1,Chaos,Chaos,Chaos,Noise
henon_x_a1.3,Regular,Regular,Regular,Regular
lorenz_x_rho28,Chaos,Chaos,Chaos,Noise
lorenz_y_rho28,Chaos,Chaos,Chaos,Chaos
lorenz_z_rho28,Chaos,Chaos,Chaos,Chaos
lorenz_x_rho10,Regular,Regular,Regular,Regular
rossler_x_c5.7,Chaos,Chaos,Chaos,Chaos
rossler_y_c5.7,Chaos,Chaos,Chaos,Chaos
rossler_x_c2.5,Regular,Regular,Regular,Regular
chua_x,Chaos,Noise,Chaos,Noise
chua_y,Chaos,Chaos,Chaos,Regular
white_noise_1,Noise,Noise,Noise,Noise
white_noise_2,Noise,Noise,Noise,Noise
white_noise_3,Noise,Noise,Noise,Noise
white_uniform,Noise,Noise,Noise,Noise
student_t3,Noise,Noise,Noise,Noise
ar1_phi0.3,Noise,Noise,Noise,Noise
ar1_phi0.7,Noise,Noise,Noise,Noise
ar1_phi0.9,Noise,Chaos,Noise,Noise
arma22,Noise,Noise,Noise,Noise
random_walk,Noise,Noise,Noise,Noise
garch_returns,Noise,Noise,Noise,Noise
garch_volatility,Noise,Chaos,Chaos,Noise
fgn_h0.8,Noise,Noise,Noise,Noise
sine_pure,Regular,Regular,Regular,Regular
sine_plus_noise,Regular,Noise,Noise,Noise
quasi_sine_sum,Regular,Regular,Regular,Regular
circle_map_qp,Regular,Regular,Regular,Regular
iaaft_lorenz_x,Noise,Noise,Noise,Noise
iaaft_henon_x,Noise,Noise,Noise,Noise
shuffle_lorenz_x,Noise,Noise,Noise,Noise
